vehicle_age,vehicle_type,annual_mileage,city_driving_pct,highway_driving_pct,daily_driving_hours,hard_braking_events,rapid_acceleration_events,engine_temperature,engine_vibration,oil_age_km,brake_wear_pct,tire_pressure_avg,battery_voltage,last_service_km,previous_repairs,service_frequency,maintenance_risk
8,Hatchback,14200,70,30,2.8,2,0,93.2,0.84,10124,57.7,27.1,13.73,16767,8,Rare,Medium
8,Pickup,28031,82,18,1.2,8,10,113.4,0.62,13039,20.6,28.0,13.54,13521,3,Regular,High
12,Pickup,8216,52,48,4.3,9,1,93.8,0.76,2894,82.4,35.9,12.65,23212,7,Regular,High
1,SUV,5016,69,31,4.5,7,4,101.9,4.61,4071,13.7,30.9,13.17,4321,0,Rare,Low
9,SUV,31378,73,27,4.3,11,12,94.1,1.55,5334,75.9,34.0,13.68,9765,1,Occasional,Medium
14,Pickup,36734,46,54,4.9,2,4,87.9,0.7,8868,71.0,36.5,12.63,20977,3,Occasional,High
5,Hatchback,18350,38,62,4.6,2,6,100.7,3.78,9878,84.7,28.5,12.2,21537,4,Regular,High
4,Sedan,19450,47,53,1.8,6,1,99.9,3.38,14447,48.5,31.1,13.16,24702,2,Occasional,Low
6,Hatchback,6473,42,58,1.9,7,6,94.4,4.06,14970,87.2,29.5,13.37,2630,5,Regular,Medium
6,Hatchback,30525,83,17,2.9,9,14,95.5,2.86,4295,49.8,30.5,12.91,13579,4,Regular,Medium
2,SUV,33572,58,42,2.2,2,10,90.5,1.3,11870,45.7,31.8,12.74,25367,6,Regular,Low
8,SUV,35110,68,32,4.9,3,4,97.3,1.81,12477,15.6,28.6,11.81,16974,3,Rare,High
7,SUV,31888,78,22,2.0,10,1,94.0,0.78,3198,84.9,27.8,12.96,17635,4,Regular,Medium
1,Pickup,6946,39,61,3.8,1,6,92.3,3.67,10415,81.1,33.1,12.86,17149,3,Regular,Low
5,Pickup,26943,80,20,3.1,1,2,81.1,3.41,13916,16.5,32.2,13.39,22015,0,Regular,Low
12,Hatchback,20740,28,72,4.8,1,3,104.7,3.56,9850,22.8,33.1,12.38,26948,8,Occasional,High
6,Hatchback,31445,42,58,3.9,3,3,103.8,4.9,6339,35.0,33.0,13.67,7034,3,Regular,Medium
4,Sedan,14176,26,74,1.9,2,4,90.4,0.77,7606,23.5,30.0,13.36,3819,7,Rare,Low
2,Hatchback,34866,50,50,1.4,0,4,88.8,0.79,6156,54.0,30.7,12.95,26272,5,Occasional,Low
13,Hatchback,16618,79,21,4.3,3,5,91.0,3.82,13258,19.7,28.4,12.97,2991,5,Occasional,Medium
14,SUV,29736,80,20,4.6,6,8,91.7,4.88,9935,83.7,28.9,11.58,22341,3,Occasional,High
4,SUV,29601,45,55,4.2,4,4,98.0,2.94,3175,82.3,33.7,13.5,1976,8,Regular,Medium
1,SUV,37850,73,27,3.8,6,6,76.3,4.16,4168,47.9,34.3,13.06,27554,3,Regular,Low
7,SUV,10804,50,50,1.9,3,5,94.1,3.24,1271,54.7,32.2,12.6,3385,1,Regular,Low
2,SUV,24525,60,40,2.8,10,1,81.0,4.7,11243,28.5,31.0,12.49,19263,3,Occasional,Low
13,Sedan,32419,47,53,4.6,4,8,82.0,1.4,7718,67.8,32.9,13.27,15316,2,Regular,Low
2,Sedan,28746,25,75,1.1,3,1,95.5,2.13,4894,60.1,33.2,12.78,10202,4,Regular,Low
9,Sedan,17812,53,47,2.7,9,5,92.0,3.26,13856,87.6,30.0,13.42,1465,5,Rare,Medium
5,SUV,31686,28,72,2.1,5,0,95.7,1.39,3614,8.3,30.1,13.13,10382,0,Occasional,Low
2,Pickup,7045,31,69,3.5,5,2,83.7,4.25,5243,49.3,32.4,13.09,15614,4,Occasional,Low
11,SUV,30336,35,65,3.4,3,4,80.5,4.09,5797,60.1,27.5,13.53,12790,6,Regular,High
9,SUV,35460,90,10,3.0,12,7,94.8,3.74,2129,57.3,33.1,12.58,26862,1,Occasional,High
9,Sedan,26668,50,50,1.8,3,7,80.7,3.29,1623,78.6,30.2,12.37,7111,1,Occasional,Low
1,SUV,39320,52,48,1.2,9,1,79.4,1.49,13231,53.4,33.9,13.1,24025,6,Regular,Low
11,Sedan,37575,26,74,4.0,1,5,91.4,4.41,6290,7.5,30.2,13.1,20980,4,Rare,Medium
3,SUV,38592,22,78,5.0,3,2,81.0,3.1,12051,94.2,35.5,13.27,3057,5,Rare,Medium
4,Hatchback,10578,39,61,1.3,4,4,88.3,1.45,8728,76.3,35.9,13.04,8428,2,Regular,Low
14,Pickup,26079,24,76,0.8,1,1,88.0,3.82,2263,12.7,31.1,13.19,29188,8,Regular,Medium
7,Pickup,5937,86,14,3.9,7,5,93.4,0.64,13285,90.6,31.5,12.15,5820,4,Regular,Low
10,Sedan,12595,57,43,2.0,7,7,93.8,1.48,9047,62.6,30.7,13.78,20857,7,Regular,Medium
4,Hatchback,5424,75,25,1.5,14,5,104.7,1.52,4974,40.3,33.3,12.11,9238,1,Occasional,Medium
2,Pickup,8051,42,58,2.9,1,5,83.1,1.81,2713,23.7,35.4,12.46,14810,6,Occasional,Low
7,Sedan,36342,21,79,3.5,4,1,77.5,0.65,6503,80.2,29.5,12.39,28330,2,Regular,Low
6,SUV,17238,40,60,1.5,7,6,76.0,4.29,11349,14.1,29.1,13.13,21969,5,Rare,Medium
3,SUV,32786,33,67,5.0,4,4,94.6,0.94,3025,66.9,33.9,11.32,14233,3,Regular,Medium
6,Hatchback,34668,81,19,2.0,2,3,96.0,4.23,3470,55.6,34.6,13.2,16930,6,Occasional,Medium
11,Pickup,7694,30,70,1.9,5,0,95.5,1.31,7078,82.5,31.6,13.81,16990,4,Occasional,Low
15,SUV,8595,23,77,2.4,3,4,100.7,4.28,12273,39.3,36.5,12.93,26412,6,Regular,High
6,Sedan,6267,66,34,3.9,7,3,84.0,0.63,12978,17.4,33.3,12.52,5002,8,Regular,Low
12,SUV,5421,39,61,4.4,7,4,88.5,4.03,2427,19.6,30.7,13.24,20884,4,Regular,Medium
5,SUV,24650,71,29,2.0,9,4,83.9,2.9,13653,60.6,31.8,12.97,20169,8,Occasional,Low
4,Pickup,12017,35,65,1.0,2,4,75.0,1.47,2882,43.4,31.6,12.55,15854,8,Regular,Low
10,Pickup,14849,64,36,1.7,1,8,94.3,2.33,506,40.2,31.0,13.63,28701,5,Regular,Low
12,Sedan,28513,27,73,0.9,4,0,96.3,0.94,4279,78.6,32.3,13.04,7228,7,Rare,Low
15,Hatchback,7226,81,19,3.3,4,1,86.9,1.12,1756,19.7,26.8,13.31,28517,8,Regular,Medium
1,Hatchback,9388,40,60,3.8,2,7,87.6,2.15,13986,76.9,30.9,13.21,22644,7,Occasional,Low
10,SUV,7422,83,17,2.4,7,11,90.6,2.36,6179,64.5,32.5,12.23,7187,5,Occasional,Medium
6,Sedan,14269,49,51,4.8,7,2,94.0,3.99,5627,89.6,32.8,13.4,22492,7,Regular,Medium
2,Hatchback,17177,55,45,3.8,10,5,90.2,3.9,8778,61.4,30.9,13.29,16333,6,Regular,Low
13,Hatchback,17032,24,76,2.2,1,4,88.6,1.58,14226,35.4,33.2,12.11,24530,0,Occasional,Low
3,SUV,12316,57,43,1.0,10,6,99.8,1.33,14627,20.9,32.7,13.74,12053,8,Regular,Low
14,Sedan,7843,38,62,2.7,5,3,93.1,1.26,9357,6.6,37.1,12.25,3661,3,Occasional,Medium
8,Hatchback,33015,46,54,2.8,8,0,99.7,3.16,5955,88.0,34.6,13.36,14612,8,Regular,High
10,Pickup,9111,32,68,3.0,5,3,97.0,3.11,3870,47.8,33.1,12.57,11765,8,Regular,Medium
14,Pickup,27043,28,72,3.6,2,4,83.7,0.97,549,5.5,32.5,12.78,25662,7,Occasional,Low
14,SUV,35101,36,64,1.7,5,4,103.0,2.03,12970,87.8,28.6,13.61,29554,5,Regular,High
6,SUV,32870,63,37,0.5,12,9,88.1,4.43,7816,94.3,32.9,13.61,14916,0,Regular,Medium
3,SUV,34415,64,36,4.2,9,10,93.0,4.74,2176,91.4,34.0,12.93,10616,6,Regular,High
7,SUV,20685,61,39,4.2,6,4,95.3,4.87,9001,12.5,30.9,13.41,25402,3,Regular,Medium
4,Hatchback,20963,70,30,4.6,5,5,86.8,3.62,2598,28.9,30.4,13.08,11770,6,Regular,Low
14,Sedan,34698,77,23,4.9,2,13,92.0,0.67,13560,17.8,32.2,13.52,6753,4,Occasional,Low
9,SUV,34150,77,23,1.2,15,5,99.3,2.68,6078,15.6,28.6,12.72,1211,7,Regular,High
15,SUV,26426,49,51,2.1,6,6,96.3,1.59,2401,68.6,29.2,12.53,21863,2,Regular,High
5,Hatchback,11035,24,76,4.3,1,3,86.4,4.5,12071,32.2,30.2,13.16,27644,7,Regular,Medium
3,SUV,12071,27,73,4.7,0,2,85.2,0.69,13044,22.5,23.9,12.71,3276,7,Regular,Low
2,SUV,25578,56,44,0.6,8,6,90.3,1.01,7933,74.2,34.1,13.17,6223,3,Occasional,Low
11,Sedan,33044,66,34,2.2,11,8,95.1,1.79,4549,78.3,29.8,12.78,11623,8,Occasional,High
2,Pickup,33842,64,36,1.0,5,11,95.1,3.65,705,82.8,30.5,13.38,7894,6,Regular,Low
3,SUV,21531,24,76,4.0,5,3,96.1,4.71,10907,75.6,30.0,12.6,5188,7,Regular,Medium
2,Hatchback,7170,82,18,3.9,5,5,94.3,2.25,8029,61.0,28.1,12.64,7765,8,Regular,Medium
14,Sedan,29687,66,34,3.9,10,5,78.7,2.04,697,7.3,32.6,12.88,14345,8,Occasional,Medium
4,Hatchback,12297,44,56,2.3,2,7,87.4,4.02,14829,32.6,28.9,13.23,19163,3,Regular,Low
2,Sedan,9163,69,31,2.3,5,3,87.1,4.54,9580,73.9,28.2,11.98,14622,0,Regular,Medium
10,Sedan,29448,64,36,1.7,8,4,103.2,0.89,10845,27.2,33.6,12.56,20999,4,Rare,Medium
9,SUV,8616,49,51,2.1,0,6,104.0,4.94,2186,88.5,31.5,13.31,27172,5,Regular,High
2,SUV,36748,67,33,4.9,3,1,89.0,2.79,6709,86.3,27.9,12.78,10327,1,Regular,Low
9,SUV,33299,70,30,0.7,2,10,101.0,4.97,3404,64.1,29.3,12.5,6309,4,Regular,High
13,Pickup,16557,74,26,2.0,5,13,90.7,0.56,3856,84.0,31.3,12.23,22374,1,Regular,Medium
6,Pickup,19096,74,26,4.1,12,9,93.6,4.51,2293,52.9,31.3,12.32,1327,3,Occasional,Medium
1,Hatchback,38781,65,35,2.2,12,1,92.8,0.94,3390,13.3,33.6,12.23,1582,8,Occasional,Low
4,SUV,13743,50,50,4.8,0,2,106.4,4.0,10560,85.3,29.1,12.45,16589,4,Regular,High
15,Pickup,12391,53,47,2.0,3,1,95.5,0.5,11564,16.0,33.1,11.04,19277,6,Regular,Medium
14,SUV,14355,87,13,4.3,0,5,89.4,1.11,10087,78.4,29.2,13.57,13539,3,Regular,Medium
1,Pickup,10247,52,48,4.2,9,9,108.4,1.22,12738,87.7,31.0,11.99,18020,5,Occasional,High
14,Pickup,11290,75,25,0.5,3,5,91.4,3.23,6583,47.7,32.7,13.75,25847,0,Occasional,Low
6,Sedan,39076,77,23,2.3,12,3,94.5,3.62,1276,34.4,34.8,12.8,28123,3,Regular,Medium
14,SUV,30817,76,24,1.8,1,9,89.1,0.91,14956,70.1,29.4,13.13,1305,5,Regular,Medium
13,SUV,37827,36,64,2.7,3,6,87.2,2.33,13461,28.3,31.7,12.97,20107,8,Occasional,Medium
4,Pickup,31209,30,70,2.6,2,0,92.2,3.66,5589,10.5,32.9,12.43,20873,1,Occasional,Low
3,SUV,37118,90,10,4.6,6,11,92.5,4.59,4517,6.0,30.7,13.16,2529,7,Occasional,Medium
3,Pickup,20216,36,64,1.3,4,2,94.3,1.35,13206,17.6,27.8,11.83,29906,4,Regular,Medium
9,SUV,12860,29,71,1.3,2,2,75.0,2.41,6292,61.9,31.0,12.01,21227,4,Occasional,Low
6,Sedan,18425,45,55,1.0,4,2,89.3,1.53,8341,56.6,32.3,13.35,727,0,Occasional,Low
9,SUV,18806,25,75,3.8,1,4,91.1,0.67,1098,58.0,30.8,14.1,20324,6,Occasional,Low
13,Sedan,29911,35,65,4.6,3,6,93.2,2.55,12388,23.1,28.9,11.44,17386,1,Regular,High
5,Hatchback,30406,23,77,2.2,3,3,97.0,2.39,12302,57.0,33.8,12.63,26104,7,Regular,Medium
2,SUV,39360,81,19,0.8,5,0,76.5,4.2,10281,56.3,29.7,12.45,7242,7,Occasional,Medium
8,SUV,19464,83,17,1.2,14,14,90.3,4.51,9625,92.3,31.0,13.11,24975,2,Occasional,High
5,SUV,35587,75,25,1.0,2,6,94.2,2.09,1578,38.5,31.9,11.78,11928,0,Occasional,Low
2,Sedan,11458,42,58,3.2,7,4,106.0,3.69,1204,63.0,31.3,11.93,19568,5,Regular,High
4,SUV,14151,52,48,1.8,6,7,93.3,3.1,6955,79.1,32.2,12.78,14482,8,Occasional,Low
9,SUV,11488,50,50,4.5,4,6,100.2,3.97,1186,42.0,32.5,12.29,21959,1,Occasional,Medium
15,Pickup,29541,26,74,1.2,0,1,82.1,1.16,2501,28.6,32.4,12.74,25166,3,Regular,Low
4,Hatchback,26803,24,76,4.7,1,0,92.7,4.16,1580,79.6,29.3,12.1,27972,4,Regular,Medium
13,Sedan,29718,56,44,2.0,5,3,95.5,3.21,14998,38.1,32.0,13.22,9896,8,Rare,Medium
12,Pickup,16170,20,80,4.4,4,0,86.7,3.95,13871,85.3,25.4,11.42,28550,8,Regular,High
12,Sedan,22430,89,11,4.8,17,13,97.8,2.39,2297,89.1,29.5,12.57,19144,3,Regular,High
12,Pickup,14260,64,36,4.9,12,0,83.9,0.54,4726,26.6,34.2,12.34,14121,3,Regular,Low
13,Hatchback,12636,66,34,4.1,4,11,81.3,4.63,14675,74.4,30.1,13.25,4618,0,Regular,Medium
15,Pickup,20941,87,13,1.0,4,2,95.5,3.78,5815,28.4,32.0,13.35,14246,6,Occasional,Medium
14,Sedan,8435,49,51,0.7,7,8,102.8,3.61,10016,37.8,26.7,12.3,19578,3,Occasional,High
4,SUV,33355,79,21,3.8,15,3,98.2,2.63,4090,84.7,31.1,12.25,3204,4,Regular,Medium
2,SUV,12300,43,57,4.5,1,5,92.3,0.7,7606,31.9,29.3,12.83,29248,3,Rare,Low
13,Hatchback,27183,50,50,1.2,4,3,89.6,1.12,1924,20.1,31.0,13.43,23001,6,Regular,Low
12,Sedan,38733,47,53,4.7,8,1,89.3,2.47,9753,24.6,29.9,12.85,26570,8,Occasional,High
15,Sedan,12444,64,36,3.2,6,8,93.9,4.07,13602,54.3,27.4,12.21,23559,7,Regular,High
6,Sedan,30755,23,77,1.1,4,3,81.1,4.5,5556,56.2,27.5,12.79,17746,7,Rare,Medium
13,Hatchback,28062,80,20,1.3,2,4,86.3,2.56,6069,91.3,33.7,12.57,1858,1,Occasional,Low
11,SUV,19610,58,42,0.8,9,8,101.0,4.98,11380,16.9,33.5,11.49,16182,8,Rare,High
14,Pickup,5500,43,57,1.1,3,4,96.7,4.91,10750,92.4,29.1,12.09,1073,2,Occasional,High
2,Hatchback,9554,90,10,3.8,12,12,92.0,2.14,9265,90.0,30.9,13.56,1988,7,Occasional,Low
12,Pickup,30545,65,35,1.5,4,8,95.8,0.79,2300,54.8,31.6,12.85,3784,8,Occasional,Medium
7,SUV,11771,72,28,3.0,10,12,93.4,2.72,11384,40.0,34.7,13.6,26661,3,Occasional,Medium
3,Hatchback,22499,67,33,3.7,9,4,104.6,4.91,1307,25.9,33.5,13.54,7957,3,Occasional,Medium
15,SUV,8932,28,72,4.5,2,1,83.8,2.15,10540,78.3,30.1,12.23,17474,2,Regular,Medium
3,Pickup,31055,41,59,3.2,8,6,88.1,2.08,8175,83.4,31.0,13.68,6209,0,Occasional,Low
5,Sedan,32700,21,79,3.1,0,3,93.4,1.87,11673,90.7,31.0,13.01,14649,7,Regular,Low
3,Sedan,8567,35,65,4.6,5,0,98.6,4.78,6059,86.8,37.4,13.62,9005,1,Regular,Medium
2,Pickup,6658,24,76,1.8,4,1,101.0,1.35,3442,83.6,26.5,12.39,24658,5,Regular,Medium
10,Sedan,31627,31,69,1.4,5,5,102.8,2.46,8025,79.8,32.9,12.55,28078,7,Occasional,High
9,Pickup,25760,71,29,4.4,8,8,86.7,1.42,12266,68.9,31.8,13.2,26149,8,Regular,Medium
2,Hatchback,34985,45,55,0.8,8,4,84.2,1.0,3526,27.2,33.6,13.49,19258,5,Regular,Low
14,Hatchback,19408,34,66,1.4,1,5,90.8,2.46,1553,24.3,28.1,10.66,510,3,Occasional,High
11,Hatchback,34832,86,14,2.4,9,4,100.3,4.13,752,16.0,31.9,13.57,2756,1,Rare,Medium
2,Sedan,38738,78,22,2.1,15,5,91.7,0.53,3033,19.7,33.8,12.84,5727,1,Regular,Low
13,SUV,29204,58,42,3.7,12,8,90.0,2.68,13128,47.3,31.0,12.69,20630,6,Regular,High
15,Sedan,18285,82,18,0.9,11,9,95.7,2.78,12443,37.2,31.8,13.62,11205,7,Regular,High
8,Sedan,37975,44,56,2.6,1,2,89.3,0.84,5047,68.1,31.7,11.97,11758,6,Occasional,Low
15,SUV,21643,60,40,4.1,1,10,93.5,4.9,11762,21.4,28.9,11.9,27939,8,Rare,High
9,SUV,10025,47,53,3.6,9,8,92.0,1.39,7656,53.5,31.8,12.02,10361,2,Regular,Low
7,SUV,21888,40,60,3.3,7,1,92.4,4.58,5513,70.9,33.1,13.09,24349,1,Regular,Medium
3,SUV,39527,80,20,1.6,5,4,88.6,1.53,11530,31.5,34.0,13.21,21973,0,Regular,Low
9,Sedan,28898,76,24,2.3,14,10,91.5,2.86,12248,52.7,33.8,12.6,852,2,Regular,Medium
3,Pickup,19387,30,70,1.3,1,1,91.0,4.1,1980,11.0,34.5,12.21,17235,7,Occasional,Low
5,Hatchback,8794,38,62,2.8,2,3,86.7,4.77,5513,91.6,29.9,12.84,19987,0,Regular,Low
9,Pickup,8590,20,80,3.1,3,1,85.4,2.31,1456,24.3,36.6,13.65,26615,6,Regular,Low
12,Sedan,19698,51,49,3.3,2,6,81.9,0.82,8727,81.3,36.8,13.0,16155,0,Regular,Medium
14,SUV,17332,53,47,4.4,10,3,97.9,0.6,10222,56.2,28.9,13.06,4906,1,Regular,Medium
14,Hatchback,14593,36,64,0.8,2,5,99.9,4.43,3311,14.4,31.1,12.32,21506,6,Regular,High
3,Hatchback,35107,74,26,2.2,4,6,96.4,2.65,12916,47.1,31.1,12.18,883,5,Regular,Low
7,Pickup,36490,38,62,3.2,4,4,95.0,1.17,1855,46.8,31.0,12.92,6443,3,Regular,Low
12,Sedan,16036,61,39,3.1,9,10,111.3,2.59,9683,46.6,30.2,13.62,27006,2,Regular,High
1,Sedan,33561,78,22,0.6,2,11,88.9,1.5,5942,57.6,32.5,12.25,4517,5,Rare,Low
4,Sedan,19372,57,43,1.4,8,8,91.5,3.65,12684,77.1,28.1,12.93,26541,3,Regular,Medium
4,Hatchback,39860,50,50,4.3,1,0,92.1,2.33,3526,54.3,32.8,12.47,804,2,Regular,Low
7,Pickup,24351,85,15,2.8,2,10,92.3,3.78,14520,67.8,31.0,12.62,19894,1,Regular,Medium
8,Hatchback,35327,88,12,2.4,1,7,78.8,3.94,7248,21.6,33.4,11.42,28118,0,Occasional,Medium
1,Hatchback,23059,69,31,4.6,8,11,98.6,2.18,4932,53.3,34.8,12.25,665,2,Regular,Medium
5,SUV,32188,49,51,0.8,4,0,88.8,3.48,2825,13.8,28.5,12.37,12181,7,Regular,Low
7,Pickup,38055,54,46,4.7,3,8,88.3,3.98,12204,82.4,31.0,12.45,3002,0,Occasional,Medium
12,SUV,7316,78,22,0.6,8,2,94.5,0.73,5243,71.2,32.9,12.44,15515,1,Rare,Low
4,Sedan,21259,36,64,3.0,4,4,89.8,1.37,2129,39.4,29.0,12.15,25225,7,Regular,Low
13,Hatchback,16829,85,15,3.0,8,11,90.4,4.92,1438,20.9,30.8,11.71,21886,0,Regular,High
4,Pickup,13137,40,60,3.4,1,1,85.0,0.53,13531,67.3,33.0,12.68,29085,7,Regular,Low
4,Sedan,29502,71,29,0.6,13,2,83.5,1.91,2731,52.9,37.0,13.08,5789,7,Regular,Low
12,Pickup,32204,84,16,2.9,10,10,96.6,4.02,1146,60.8,32.8,12.11,2191,0,Occasional,High
6,Hatchback,6265,33,67,1.0,1,1,94.4,1.92,14433,67.3,33.9,11.64,3756,5,Occasional,Low
7,Pickup,27285,35,65,1.2,2,3,103.7,4.19,2439,93.0,31.5,12.97,24554,2,Regular,Medium
2,Sedan,29315,74,26,1.5,11,3,80.9,1.1,10240,87.9,29.4,12.72,25105,2,Occasional,Low
15,SUV,38379,28,72,3.3,4,0,91.2,4.45,1751,39.8,27.0,12.49,8375,8,Regular,High
5,Hatchback,32152,27,73,2.3,4,0,89.7,2.63,9189,29.5,34.0,11.63,6202,3,Rare,Low
4,SUV,10424,53,47,0.9,8,1,88.9,0.67,10428,19.4,31.3,12.1,7627,7,Regular,Low
15,Hatchback,14939,52,48,1.8,6,5,95.8,3.3,10113,11.1,30.5,13.1,6215,6,Regular,Medium
14,Sedan,35253,26,74,0.8,2,1,92.0,1.75,2307,80.3,29.6,13.09,12588,4,Regular,Low
13,Hatchback,39396,40,60,3.5,3,6,97.7,3.65,2082,86.6,30.7,12.76,14434,8,Regular,High
3,SUV,18176,24,76,3.0,2,0,84.0,4.56,10115,82.1,35.3,12.25,21396,6,Regular,Medium
7,Hatchback,12907,90,10,2.3,4,11,89.6,0.88,7810,38.3,34.5,13.56,7183,0,Occasional,Low
11,Sedan,8372,31,69,4.7,5,0,83.6,1.6,4022,69.8,31.3,13.07,14051,0,Regular,Low
12,Hatchback,32572,78,22,2.8,12,13,85.8,2.26,3320,17.9,35.3,13.29,2146,3,Regular,Medium
6,SUV,29592,77,23,4.5,15,1,83.0,4.82,13600,70.1,30.6,13.82,690,3,Regular,Medium
14,Sedan,18102,56,44,3.1,5,1,97.7,2.32,2124,37.2,34.2,13.7,18789,8,Regular,High
7,SUV,30642,64,36,2.2,11,3,89.4,1.01,12119,34.3,34.3,13.4,2195,7,Regular,Low
5,Hatchback,8139,44,56,2.9,7,1,93.1,1.84,5582,77.9,30.2,12.8,9502,5,Occasional,Low
13,Pickup,16643,46,54,1.2,8,8,77.2,0.59,6094,68.8,25.7,11.77,2742,7,Occasional,High
6,SUV,23643,70,30,3.5,10,2,96.5,1.36,14285,68.1,30.6,11.87,13130,6,Rare,High
5,Hatchback,33780,61,39,4.9,4,1,91.6,3.24,9190,65.4,33.0,12.26,27011,1,Rare,Medium
14,Pickup,21667,90,10,1.6,4,1,92.9,1.26,6017,54.2,32.9,12.52,29700,4,Regular,Medium
7,Pickup,35632,61,39,2.0,3,9,100.2,4.63,10849,20.3,27.3,12.78,9840,2,Occasional,High
2,Sedan,34408,79,21,2.3,9,9,94.0,3.71,11060,28.2,32.6,13.07,13862,2,Occasional,Low
14,Pickup,29302,77,23,2.7,14,10,81.0,3.6,973,56.6,28.8,13.74,6570,0,Occasional,Medium
11,SUV,26621,41,59,3.7,4,5,95.5,2.51,3231,75.4,34.3,12.78,21496,3,Regular,Medium
5,SUV,18219,77,23,1.1,9,13,98.4,4.01,7904,62.6,31.5,13.31,7134,0,Regular,Low
6,Pickup,30939,30,70,1.9,4,4,80.5,1.34,10007,40.5,35.2,11.93,1906,1,Regular,Low
6,Hatchback,17778,25,75,2.9,4,2,92.4,2.5,9930,61.0,31.6,12.92,20625,1,Regular,Low
15,SUV,34870,41,59,3.2,5,2,82.2,4.97,5947,34.4,31.9,12.86,22612,6,Regular,High
5,SUV,27121,31,69,2.9,4,2,98.6,1.79,11941,58.3,28.2,12.27,25710,2,Regular,Medium
10,Sedan,35158,46,54,2.5,9,3,93.2,2.32,12880,74.7,32.4,12.44,4020,5,Regular,Medium
7,Hatchback,28456,20,80,3.7,3,1,91.1,1.49,2591,19.1,35.1,12.74,20157,0,Occasional,Low
10,Pickup,17992,83,17,1.4,12,6,89.6,0.84,11437,11.2,36.9,12.43,10201,7,Regular,Medium
8,Hatchback,30390,58,42,1.8,10,1,86.3,2.32,839,41.1,34.3,12.67,28125,8,Rare,Medium
7,Sedan,21756,79,21,2.5,16,4,88.1,1.15,14020,72.5,31.2,13.74,18103,2,Regular,Low
5,Sedan,26971,89,11,3.6,9,3,88.6,2.8,5407,15.5,29.3,13.6,5663,8,Occasional,Low
1,Hatchback,12071,73,27,0.9,10,12,94.7,3.89,8130,94.5,30.4,13.63,16827,2,Regular,Low
13,Sedan,32574,44,56,1.0,7,4,92.0,4.32,13626,75.6,32.9,11.78,26660,0,Regular,High
5,Sedan,24275,39,61,4.0,3,6,90.4,1.26,5697,69.0,28.6,13.31,25152,2,Occasional,Low
10,Sedan,11586,55,45,1.7,11,6,75.3,4.56,3829,40.6,33.8,12.69,17366,6,Regular,Medium
2,Hatchback,24703,42,58,4.8,3,5,101.9,2.12,6907,78.5,33.2,12.56,3231,7,Regular,Medium
13,Sedan,31765,20,80,4.8,1,0,99.0,2.52,3055,36.9,28.3,12.82,6295,4,Occasional,Medium
5,Pickup,15641,46,54,3.6,6,0,86.3,3.12,1231,46.7,33.3,12.42,29254,2,Rare,Low
5,Pickup,5822,71,29,3.7,1,4,91.3,1.17,8829,11.5,33.9,12.75,26998,7,Regular,Low
2,SUV,37989,21,79,3.4,1,0,93.3,4.29,5882,93.0,35.2,12.83,6340,4,Occasional,Medium
5,Pickup,17129,40,60,1.3,8,2,100.5,4.05,2468,60.5,31.8,12.63,19098,3,Regular,Medium
13,SUV,20543,28,72,2.8,2,3,100.6,2.63,3734,26.6,30.3,13.5,13254,0,Regular,Low
4,Hatchback,30963,67,33,4.1,0,9,91.2,1.93,11927,61.3,30.0,12.75,2171,1,Regular,Low
1,Sedan,34665,58,42,4.0,6,6,82.7,2.74,6075,74.8,32.1,13.73,22527,2,Regular,Low
3,Pickup,18499,61,39,4.5,11,6,95.2,3.44,5053,74.0,27.4,12.99,8274,8,Regular,High
1,SUV,15352,90,10,4.6,6,1,104.3,3.65,757,5.0,33.2,12.33,21653,8,Occasional,Medium
12,Hatchback,24654,64,36,1.7,5,1,87.0,2.47,5642,73.4,32.5,12.99,19436,7,Regular,Medium
11,SUV,15117,21,79,3.7,1,0,92.2,0.62,11485,52.1,28.5,12.95,15376,1,Regular,Low
15,Sedan,26077,86,14,3.4,6,13,92.8,3.71,3911,78.6,34.7,12.37,27572,4,Rare,High
5,Pickup,8993,62,38,4.5,12,4,87.5,1.94,11210,22.8,33.3,12.96,20399,3,Rare,Low
4,Hatchback,23982,37,63,1.3,6,3,79.7,4.45,9544,29.9,30.6,11.87,24833,4,Occasional,Medium
7,SUV,39434,58,42,3.8,9,7,83.6,2.4,14181,9.7,27.2,12.99,5220,3,Occasional,Medium
5,Hatchback,21312,25,75,2.4,4,4,95.4,4.08,3570,33.7,34.8,12.07,20540,6,Regular,Medium
10,SUV,19338,61,39,2.3,8,7,91.8,2.15,5600,41.6,26.2,11.33,25918,4,Regular,High
14,SUV,35173,71,29,0.7,2,1,91.6,2.17,9043,21.7,31.9,11.92,13469,7,Regular,Medium
4,Sedan,31690,46,54,4.8,1,7,84.4,3.93,8349,66.1,33.3,13.07,5971,8,Regular,Medium
2,Sedan,32328,34,66,3.5,4,1,92.7,2.93,8551,86.5,34.6,13.65,29245,3,Occasional,Low
4,SUV,16360,38,62,3.2,5,5,93.8,1.65,5898,8.7,32.9,13.19,8810,7,Regular,Low
12,Pickup,27625,81,19,1.6,16,11,88.2,4.28,4065,34.6,30.9,13.56,13432,3,Regular,Medium
2,Hatchback,36850,83,17,3.5,7,6,92.5,3.33,7233,19.2,39.0,12.86,20729,7,Regular,High
